objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
wa0024,KillPsych05746.jpg,,"""American Pyschological Association"" Yearbook 1939",image/jpeg,"Killian is listed as participant, as well as Cecil Mann. Mann was not yet employed at WCU.",,,1939,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0025,KillPsych05748.jpg,,"""The New England Primer""",image/jpeg,"Back cover of book is torn and needs to be repaired
Primer but no other information, date or association with department",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0026,KillPsych05750.jpg,,"""The Journal of Abnormal and Social Psychology""",image/jpeg,Psychology journal but no WCU faculty are authors or editors in this edition,,,10/12/1931,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0027,KillPsych05751.jpg,,"""The New England Primer""",image/jpeg,"Similar to other copy but in better condition, no connection to how it was used in the department",,,n.d,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0028,KillPsych05753.jpg,,Curiosity Drawer Cabinet,image/jpeg,"Set of 18 drawers with trinkets inside of each drawer
No information about this case or how it was used; Most likely belonging to Bruce Henderson",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0029,KillPsych05758.jpg,,Small pin from American Board of Professional Psychology ,image/jpeg,No specific date or who it was awarded to,,,1947-1950,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0030,KillPsych05760.jpg,,Muller-Lyre Board ,image/jpeg,Two separate panels in wood with black laquer finish and white arrows and lines painted on them; pieces move to extend the lines and arrows,,,1952,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0031,KillPsych05763.jpg,,Ferguson Form Boards,image/jpeg,Set of 3 wooden boards with various shapes; boards are similar to a puzzle and some pieces are intentionally removed,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0032,KillPsych05764.jpg,,Columbia Mental Maturity Scale,image/jpeg,"Two metal cases with blue and white cards inside with various line art pictures on them
Used for intelligence testing in children to esablish ntellectual ability in the mental age range from 3-12, does not require motor skills so suited for children with serious motor or verbal impairment ",,,1954,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0033,KillPsych05769.jpg,,Box of various sized blocks,image/jpeg,"Blocks in orange, blue, green, yellow and white with writing on each block; items are inside a green box with the following on the lid: ""Contents Cat. No. 36118 Concept Formation Test, C.H. Stoelting Company",,,n.d,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0034,KillPsych05770.jpg,,Stencil Design Test,image/jpeg,"Box of multi colored cards with various shapes on them. There are 21 cards with shapes and 18 stencil cards in solid colors (red, blue, yellow, green, white and black)",,,1945,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0035,KillPsych05772.jpg,,Minnesota Mechanical Assembly Test,image/jpeg,"Two black boxes with various items inside
Boxes are scraped and scratched; one box is taped but it doesn't appear to be broken or needing the tape",,,1930,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0036,KillPsych05775.jpg,,Picture Identification,image/jpeg,Wooden setup with notches and alternating orange triangles with small blue dots and green squares with small blue dots,,,1941,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0037,KillPsych05777.jpg,,Puzzle blocks,image/jpeg,"Various blocks painted red, yellow and blue with one side left natural",,,1941,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0038,KillPsych05779.jpg,,Rotter Board of Aspiration,image/jpeg, Long wooden beam with 1-10 -1 marked down the top of the instrument. Sits on 4 metal feet and has a metal ball sitting in the middle of the channel between the numbers; a long wooden rod also rests in the channel and there is a 2.5 inch space between the channel and a piece of plexiglass at the end of the structure,,,1947,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0039,KillPsych05781.jpg,,"Case with various books, notebooks, cards and structures inside",image/jpeg,"Contains small box with car, iron, shoe on top; Termian/Merrill book and Stanford-Binet Intelligence testing book in pocket",,,1937,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0040,KillPsych05785.jpg,,Ferguson Form Boards ,image/jpeg,Set of 3 wooden boards with various shapes; Boards are older with light honey color and water stained,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0041,KillPsych05787.jpg,,Hunter MFG Co. Electrical Instrument,image/jpeg,Model 115 Timer Series D; Grey and Green rectangular box with 2 radial components marking 0-5 and dials to change to any of those numbers; two swches - 1 power and 1 interval to turn off or on,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0042,KillPsych05789.jpg,,Light Discrimination Apparatus ,image/jpeg,"Two light discrimination dials measuring 0-300 with a switch in the center between them
Case is brown wooden rectangular box with plug in the front 
Lafayette Insturment Co. Lafayette, Indiana",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0043,KillPsych05791.jpg,,Illusionator,image/jpeg,"Black and white rectangular box; 1 dial with speed control and switch used to move ""forward"" ""off"" or ""reverse""; two nails encased in plastic coming off of both sides of the box with the right side longer than the left side",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0044,KillPsych05793.jpg,," ""Millisecond Timer""",image/jpeg,"Brown and black cube dial in the front measuring 360 millicseonds; Made MeyLan New York 18, N.Y.",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0045,KillPsych05797.jpg,,Black oblong box with circular discs of varying color inside,image/jpeg,Colors have number or letter on reverse side,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0046,KillPsych05799.jpg,,Picture of various famous male psychologists/psychiatrists,image/jpeg,"(Freud, Pavlov, Tolman, Hull and Ringhaus)",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Image;StillImage,eng,
wa0047,KillPsych05800.jpg,,Morse code practice key,image/jpeg,,,,1947,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0048,KillPsych05804.jpg,,Shock Machine ,image/jpeg,"A-615 B Shocker with AC Volt meter measuring to 0-1000; Two dials - Series K x10 and x100; silver rectangular box made by Lafayette Instrument Co.; red and black dials - start and shock and large black dial with ""Shock Voltage""",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0049,KillPsych05806.jpg,,Maico Medical Acoustic Insturment Co. hearing loss instrument ,image/jpeg,Brown rectangular box with headset on the left side for testing hearing (missing headphone on the right side),,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0050,KillPsych05811.jpg,,Pencil maze,image/jpeg,silver and wood maze,,,1948,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0051,KillPsych05813.jpg,,"Memory Drum #4 (label) and red label with ""No. 1"" on it ",image/jpeg,Silver rectangular box with open cylinder and plug in front; switch on left side; Made by Lafayette Instrument,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0052,KillPsych05817.jpg,,Resonance tuning fork,image/jpeg,,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0053,KillPsych05824.jpg,,Lateral Dominance Test ,image/jpeg,"Discs with black patterns in wooden box, various objects in box that relate to dominance test",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0054,KillPsych05826.jpg,,"Welch ""Everything for the School and the Laboratory"" product ",image/jpeg,"Large circular disc on cast iron frame with shield to the left side of disc; interior measurement disc with numbers 0-90 in quarters
 
 Hartle Optical Disc",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0055,KillPsych05832.jpg,,Taylor Huskins conference room in Killian ,image/jpeg,Portrait and plaque,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0056,objects/ramsey/Ramsey05599.jpg,,"""Ballet of Los Angeles""
",image/jpeg,"Ramsey Center 8:00 pm
Adult - $10.00
WCU Employee/Sr. Cit. - $3.00
Youth (4-18)/WCU Student (ID) - $3.00
An LCE Presentation",,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0057,objects/ramsey/Ramsey05595.jpg,,"Richmond Ballet on Tour, ""Coppelia""",image/jpeg,"The State Ballet of Virginia, 
Stoner Winslett, Director
April 22
Ramsey Center
Adults - $10
WCU Employees/Sr.Citizens - $8.00
Students - $3.00
Sponsored by the Lectures, Concerts and Exhibitions Committee
Western Carolina University
For Information Call 227-7234",,,April 22,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0058,objects/ramsey/Ramsey05596.jpg,,American Repertory Ballet Company ,image/jpeg,(Formerly Princeton Ballet),,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0059,objects/ramsey/Ramsey05598.jpg,,Les Ballets Trocokadero de Monte Carlo,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0060,objects/ramsey/Ramsey05599.jpg,,North Carolina Dance Theater,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0061,objects/ramsey/Ramsey05601.jpg,,Merry Wives of Windsor,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0062,objects/ramsey/Ramsey05603.jpg,,Up with People,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0063,objects/ramsey/Ramsey05604.jpg,,Great Smokies Pro Rodeo,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0064,objects/ramsey/Ramsey05607.jpg,,Aman International Music and Dance,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0065,objects/ramsey/Ramsey05610.jpg,,Of Mice and Men,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0066,objects/ramsey/Ramsey05613.jpg,,Royal Lizzaner Stallions,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0067,objects/ramsey/Ramsey05616.jpg,,Hometown Saturday Night,image/jpeg,"Featuring Mr. Jack Daniels Original Coronet Band
In Concert
Ramsey Regional Activity Center
8:00 pm
Admissions:
Adult -- $10.00
WCU Employee/Sr. Cit. -- $8.00
Youth (4-17)/WCU Student -- $3.00
For tickets, call 227-7722",,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0068,objects/ramsey/Ramsey05617.jpg,,Randy Travis,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0069,objects/ramsey/Ramsey05620.jpg,,Asolo,image/jpeg,"Asolo
On Tour
Agatha Christie's
Towards Zero
Ramsey Activity Center
$110 adults, $8 WCU employees and senior citizens,
$3 WCU students and youths,
An LCE Presentation",,,2/28/1989,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0070,objects/ramsey/Ramsey05620.jpg,,Horizons for the 90s presents Ferrante and Bravura Brass,image/jpeg,"World Premier of a New Show
Ramesey Regional Activity Center
Western Carolina University
General Admissions
Tickets: $10 Adults $8 groups for 25 or more
$6 students and youth
MasterCard and VISA accepted
For telephone ticket orders, call (704) 227-7722.
Have credit card number ready.",,,"Sunday, October 7th",,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0071,objects/ramsey/Ramsey05621.jpg,,Slovak State Folk Ensemble,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0072,objects/ramsey/Ramsey056232,,The Soviet Acrobatic Revue,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0073,objects/ramsey/Ramsey05623.jpg,,The World by Sea,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0074,objects/ramsey/Ramsey05624.jpg,,"Concert and Dance
Chairman of the Board",image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0075,objects/ramsey/Ramsey05625.jpg,,Pump Boys and the Dinettes,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0076,objects/ramsey/Ramsey05626.jpg,,Cullowhee Arts Fest,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0077,objects/ramsey/Ramsey05627.jpg,,Glenn Miller Orchestra,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0078,objects/ramsey/Ramsey05628.jpg,,Bull Bash,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0079,objects/ramsey/Ramsey05629.jpg,,UCDA Silver Award,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0080,objects/ramsey/Ramsey05643.jpg,,Graphic Arts Award,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0081,objects/ramsey/Ramsey05646.jpg,,Lady Cats 2007 Championship Poster,image/jpeg,,,,2007,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0082,objects/ramsey/Ramsey_bball.jpg,,Ramsey Center Basketball Proof,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0083,objects/ramsey/Ramsey013.jpg,,Ramsey Center Graduation Proof,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0084,objects/ramsey/Ramsey014.jpg,,Ramsey Center Ice Skating Rink Proof,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0085,objects/ramsey/Ramsey011.jpg,,Ramsey Center Promo Flyer Proof,image/jpeg,,,,n.d.,,,Ramsey;Posters;,"Cullowhee, NC",35.3038239,-83.1823685,,,Ramsey Event Center,,,,,,Image;StillImage,eng,
wa0086,objects/CFPA/05460,,"""An Unexpected Journey IV""",image/jpeg,"Black backround with highlights of yellow, orange, and green",Amanda Clark,,2022,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0087,objects/CFPA/05461,,Abstract watercolor and ink,image/jpeg,"In blues, a bit of red and spreading to yellow; looks like plants",,,,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0088,objects/CFPA/05462,,"""Tamaqua Asphalt 2""",image/jpeg,Sketch of a tower surrounded by homes and telephone poles in distance,Margaret Noel,,2010,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0089,objects/CFPA/05463,,Time,image/jpeg,Horizontal orientation of photography piece with image of same woman on either side and abstract clock face in the cener,Lindsay Kappius,,2010,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0090,objects/CFPA/05467,,Illumination,image/jpeg,"Resembles image of leaves, long and spikey",Jennifer Anderson,,2/27/2017,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0091,objects/CFPA/05468,,The Touch of a Person,image/jpeg,"Four bodies with three reaching for the 1 on the left; colors are black, navy with highlights of red and yellow",,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0093,objects/CFPA/05471,,,image/jpeg,"Two mixed media pieces; alternating dots, comic strips, and stripes of black white and either turquoise and orange",,,n.d.,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0094,objects/CFPA/05472,,Birnham Woods,image/jpeg,"waterfall and forest scene; black and white: Mason Adams, Birnam Woods, 2012; 2013 Annual Juried Student Exhibition Purchase Award - Office of the Dean -College of Fine and Performing Arts",Mason Adams,,2012,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
wa0095,objects/CFPA/05473,,No Title,image/jpeg,"black and white cut paper with yellow, white, red and black cut paper resembling a forest in the center",Paul Farmer,,2017/2018,,,Bardo;FPA;,"Cullowhee, NC",35.3073863,-83.184521,,,Fine and Performing Arts,,,,,,Image;StillImage,eng,
